"","method","nsnp","b","se","pval","exp","run","mode"
"1","MR Egger",16,-0.151129239597731,0.123537812359877,0.241392222826628,1,1,"A"
"2","Weighted median",16,-0.0193835528699021,0.0134795502257949,0.150434903586369,1,1,"A"
"3","Inverse variance weighted",16,-0.00308739748950709,0.00997529147228471,0.756937797984301,1,1,"A"
"4","Simple mode",16,-0.0276555834866068,0.0229928110494555,0.247698972104677,1,1,"A"
"5","Weighted mode",16,-0.0280877675123236,0.020457935800653,0.189945256015422,1,1,"A"
"exposure1","mvmr",50,-0.00465448966860451,0.00886470909543152,0.601691831751302,1,1,"A"
"exposure2","mvmr",50,0.999509808692536,0.0860489927754891,2.62293630989539e-16,2,1,"A"
"11","MR Egger",20,-0.118348749801286,0.00899625353438283,1.13342712319989e-10,1,2,"A"
"21","Weighted median",20,-0.0568678734208337,0.0177249674941539,0.00133499608871684,1,2,"A"
"31","Inverse variance weighted",20,-0.0591241252095467,0.015655596327041,0.000159016346670592,1,2,"A"
"41","Simple mode",20,-0.00105688118093167,0.0229971236238717,0.963824041866002,1,2,"A"
"51","Weighted mode",20,-0.117722466916938,0.00883217270040915,4.31158323182866e-11,1,2,"A"
"exposure11","mvmr",50,0.00904023963363648,0.00675482389853363,0.186394291738039,1,2,"A"
"exposure21","mvmr",50,1.21697700845561,0.0919928009946268,1.40749939295695e-18,2,2,"A"
"12","MR Egger",16,0.253511369790645,0.0188453536250059,2.13051130170729e-09,1,3,"A"
"22","Weighted median",16,0.0436896300167627,0.0192282318724365,0.0230768147004386,1,3,"A"
"32","Inverse variance weighted",16,0.105961759822291,0.0316164209806248,0.000803812375164493,1,3,"A"
"42","Simple mode",16,0.0418497607677003,0.0308435025727413,0.194900600421626,1,3,"A"
"52","Weighted mode",16,0.035424559954846,0.0295207027690485,0.248753405227441,1,3,"A"
"exposure12","mvmr",50,0.0199959730428759,0.0119946971340881,0.101291260193791,1,3,"A"
"exposure22","mvmr",50,1.18642675998352,0.111960220630342,8.43997367819673e-15,2,3,"A"
